בֶּטֶן	belly, womb
בְּרָכָה	blessing
גָּבַהּ	to be high
הֶבֶל	vapor, breath, idol
זָעַק	to cry out; be called to arms
זָר	strange, different; illicit
חָזָה	to see
חֶרְפָּה	reproach
לְבָנוֹן	Lebanon
לוּן	to lodge, murmur
שָׁלָל	plunder, booty
תְּפִלָּה	prayer
תְּרוּמָה	contribution
תֵּשַׁע, תִּשְׁעָה, תִּשְׁעִים	nine; ninety
מַדּוּעַ	why?
מִזְרָח	sunrise, east
מִקְדָּשׁ	holy place
מֵת	dead
סֶלָה	selah
עֵד, עֵדָה (II)	witness
עוֹף	flying creature
עֵז	goat
פָּלָא	to be wonderful
צָרָה	distress
קִיר	wall
רָחַץ	to wash
שָׁבַת	to cease, rest
שׁוֹפָר	ram's horn
אֲבִימֶלֶךְ	Abimelech
אֲחֻזָּה	possession
אַלּוּף	chief, friend, tame
בּוֹר	cistern
בֵּית־אֵל	Bethel
בַּל	not
גֶּבֶר	young man
חֲלוֹם	dream
חֵן	grace, favor
כִּכָּר	something round; loaf; valley
כְּסִיל	fool; constellation
כָּתֵף	shoulder-(blade)
אַבְנֵר	Abner
אָחַז	to grasp
אִשֶּׁה	offering made by fire
בִּלְעָם	Balaam
גִּבְעָה	hill
חֵלֶק	portion; smootheness
מִדְעָן	Midian
מָלֵא	full
מָשַׁח	to annoint
נָבַט	to look
עֵמֶק	valley
פֹּה, פּוֹ, פֹּא	here
פָּרַשׂ	to spread out
קֶבֶר	grave
קָדִים	east
קֵץ	end
רָפָא	to heal
שְׁאֵרִית	remainder
שֻׁלְחָן	table
תָּקַע	to strike, clap, blast
יְאֹר	‪Nile, Euphrates‬(great) river 
יוֹאָשׁ	Joash
יָצַר	to fashion
כָּשַׁל	to stumble, totter
מִיכָה, מִיכָא, מִיכָיְהוּ	Micah
נַעֲרָה	young girl, maid
נָצַח	to be preeminent, enduring; lead, supervise
נָצַר	to watch, guard
פּוּץ	to be scattered
צִדְקִיָּה, צִדְקִיָּהוּ	Zedekiah
צָלַח	to prosper, rush
רִיב (v)	to contend
אֶבְיוֹן	poor, oppressed
אַחֲרִית	end
אִיּוֹב	Job
אֵיךְ	how?
אֱלִישָׁה	Elisha
אָסָה	Asa
אֵצֶל	proximity (beside)
אָרַר	to curse
בָּרַח	to flee
בָּשָׁן	Bashan
גְּבוּרָה	strength
דּוֹד	beloved, love (pl), uncle
דָּרַךְ	to tread, bend (a bow)
חָג, חַג	festival, feast
חָמָס	violence
חֵת	Heth
שְׁאוֹל	Sheol
שָׁכַם	to arise early
שְׁכֶם	Shechem
שִׁפְחָה	handmaid
תָּמַם	to be complete
תָּפַשׂ	to grasp
יֵהוּא	Jehu
מָגֵן	shield
מָרְדֳּכַי	Mordecai
נֶדֶר, נֵדֶר	vow
נֶסֶךְ, נֵסֶךְ	drink offering
